Code,Name,Type,PayLater,PayLaterTotal,State,City,Full Location,URL
ANB,Kia,Kia Rio or similar,14783.89,16707.93,Alabama,"Anniston, AL ","ANNISTON, AL (ANB) 1100 S Quintard Ave, 1100 S Quintard Ave, Anniston, AL, 36201, U S A",https://www.avis.com/en/locations/us/al/anniston/anb
ANB,Kia,Kia Soul or similar,14783.89,16707.93,Alabama,"Anniston, AL ","ANNISTON, AL (ANB) 1100 S Quintard Ave, 1100 S Quintard Ave, Anniston, AL, 36201, U S A",https://www.avis.com/en/locations/us/al/anniston/anb
ANB,Toyota,Toyota Corolla or similar,14783.89,16707.93,Alabama,"Anniston, AL ","ANNISTON, AL (ANB) 1100 S Quintard Ave, 1100 S Quintard Ave, Anniston, AL, 36201, U S A",https://www.avis.com/en/locations/us/al/anniston/anb
ANB,Volkswagen,Volkswagen Jetta or similar,15212.89,17166.96,Alabama,"Anniston, AL ","ANNISTON, AL (ANB) 1100 S Quintard Ave, 1100 S Quintard Ave, Anniston, AL, 36201, U S A",https://www.avis.com/en/locations/us/al/anniston/anb
ANB,Toyota,Toyota Camry or similar,15212.89,17166.96,Alabama,"Anniston, AL ","ANNISTON, AL (ANB) 1100 S Quintard Ave, 1100 S Quintard Ave, Anniston, AL, 36201, U S A",https://www.avis.com/en/locations/us/al/anniston/anb
ANB,Volkswagen,Volkswagen Passat or similar,23132.89,25641.36,Alabama,"Anniston, AL ","ANNISTON, AL (ANB) 1100 S Quintard Ave, 1100 S Quintard Ave, Anniston, AL, 36201, U S A",https://www.avis.com/en/locations/us/al/anniston/anb
